master_cpd_id	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	inclusion_rationale	gene_symbol_of_protein_target	target_or_activity_of_compound	source_name	source_catalog_id	cpd_smiles
1788	CIL55	BRD-K46556387	1.00E+01	probe	pilot-set		screening hit	Columbia University		CN(C)CCNC(=O)c1cc2CSc3cc(Cl)ccc3-c2s1
3588	BRD4132	BRD-K86574132	1.60E+02	probe	chromatin;pilot-set		screening hit	ChemDiv Inc.	4998-1380	CC(C)N1C(=O)S\C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O
12877	BRD6340	BRD-K35716340	3.30E+01	probe	chromatin;pilot-set		screening hit	ChemDiv Inc.	1988-0090	C(Cn1c2ccccc2c2ccccc12)c1nc2ccccc2[nH]1
17712	ML006	BRD-K89692698	5.30E+02	probe	pilot-set	S1PR3	agonist of sphingosine 1-phosphate receptor 3	Enamine Ltd.	Z1037336336	C1CN(CCO1)c1nnc(-c2ccccc2)c(n1)-c1ccccc1
18311	Bax channel blocker	BRD-A18763547	3.30E+01	probe	pilot-set	BAX	inhibitor of BAX-mediated mitochondrial cytochrome c release	Maybridge	RJC01737	OC(CN1CCNCC1)Cn1c2ccc(Br)cc2c2cc(Br)ccc12
19153	BRD9876	BRD-K89329876	1.30E+02	probe	pilot-set		screening hit	Sigma-Aldrich	425265	CC(C)(C)c1ccc2cc(C#N)c(cc2c1)C#N
23151	tretinoin	BRD-K64634304	1.30E+02	FDA	chromatin;pilot-set	RARA;RARB;RARG	agonist of retinoid acid receptors	Sigma-Aldrich;Sigma-Aldrich	R2625;R2625-50MG	CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C
23256	betulinic acid	BRD-K45401373	6.60E+01	probe	chromatin;lit-search		natural product; inhibitor of specificity protein 1 transcription factor in cells	Tocris Bioscience	3906	CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O
24173	phloretin	BRD-K15563106	5.90E+02	probe	pilot-set	SLC5A1	natural product; inhibitor of glucose uptake	Sigma-Aldrich	P7912	Oc1ccc(CCC(=O)c2c(O)cc(O)cc2O)cc1
24197	thalidomide	BRD-A93255169	6.60E+01	FDA	CTEP;kinome	CRBN	immunomodulatory drug; binder of cereblon	Selleck	S1193	O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12
