"unique.cellid","unique.tissueid","CGP.cellid","CCLE.cellid","GSK.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","GDSC_rnaseq.cellid","CCLE_exome.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","gCSI.cellid","GDSC1000.cellid","NCI60.cellid","PRISM.cellid","MCLP.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Cescon.cellid","Ben_Neel.tissueid","COSMIC.tissueid","CTRPv2.tissueid","gCSI.tissueid","GDSC1000.tissueid","Cleveland.cellid","Cleveland.tissueid","FIMM.cellid","FIMM.tissueid","NCI60.tissueid","PRISM.tissueid","MCLP.tissueid","Cellosaurus.Accession.id","PharmacoDB.id","GDSC_Exome.cellid","unique.tissueid.fromstudies","Cellosaurus.Disease.Type","CellLine.Type","Metastatic","DepMap.cellid","NCI.Sarcoma.cellid"
"105KC","Bone","","","","","105KC","","","","","","","","","105KC","","","","","","","","","Cartilage","","","","","","","","","","","","","","","","","","CVCL_M605","105KC_1_2019","","cartilage","Myxoid chondrosarcoma","Cancer cell line",NA,"",""
"1273/99","Soft Tissue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_N588","1273/9922021_","","","","",NA,"ACH-001270",""
"1321N1","CNS/Brain","","1321N1","","","","","","","","","","","","1321N1","","","","","","central_nervous_system","","","","","","","","","","","","Brain","","","","","","","","","CVCL_0110","1321N1_2_2019","","central_nervous_system","Astrocytoma","Cancer cell line",NA,"ACH-001000",""
"143B","Bone","","143B","","","143B","","","143b","","","","","","143B","","","","","","bone","","","Bone","","","","","","","bone","","","","","","","","","","","CVCL_2270","143B_3_2019","","bone","Osteosarcoma","Cancer cell line",NA,"ACH-001001",""
"184A1","Breast","","","","184A1","","","","","","","","184a1","","","","","","184A1","","","","breast","","","","","","","breast","","","","","","","","","","","breast","CVCL_3040","184A1_4_2019","","breast","","Transformed cell line",NA,"ACH-002319",""
"184A1N4","Other","","","","184A1N4","","","","","","","","","","","","","","","","","","breast","","","","","","","","","","","","","","","","","","","","184A1N462021_","","breast","","",NA,"",""
"184B5","Breast","","","","184B5","","","","","","","","184b5","","","","","","184B5","","","","breast","","","","","","","breast","","","","","","","","","","","breast","CVCL_4688","184B5_5_2019","","breast","","Transformed cell line",NA,"ACH-001827",""
"1A2","Lymphoid","","","1A2","","","","","","","","","","","","","","","","","","hematopoietic_and_lymphatic_system","","","","","","","","","","","","","","","","","","","","","1A282021_","","haematopoietic_and_lymphoid_tissue","","",NA,"",""
"2004","Kidney","","","","","","","","","","","","","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_U759","2004_6_2019","","","Rhabdoid tumor of the kidney","Cancer cell line",NA,"",""
"201T","Lung","","","","","","","201T","201T","","","201T","","","","201T","","","","","","","","","","Lung:NSCLC","","","","","lung","","","lung","","","","","","","","CVCL_X481","201T_7_2019","201T","lung","Lung adenocarcinoma","Cancer cell line",NA,"ACH-002089",""
"21MT-1","Breast","","","","21MT1","","","","","","","","","","","","","","","","","","breast","","","","","","","","","","","","","","","","","","","CVCL_7931","21MT1_8_2019","","breast","Breast carcinoma","Cancer cell line","TRUE","",""
"21MT-2","Breast","","","","21MT2","","","","","","","","","","","","","","","","","","breast","","","","","","","","","","","","","","","","","","","CVCL_7932","21MT2_9_2019","","breast","Breast carcinoma","Cancer cell line","TRUE","",""
"21NT","Breast","","","","21NT","","","","","","","","","","","","","","","","","","breast","","","","","","","","","","","","","","","","","","","CVCL_7933","21NT_10_2019","","breast","Breast carcinoma","Cancer cell line",NA,"ACH-002399",""
"21PT","Breast","","","","21PT","","","","","","","","","","","","","","","","","","breast","","","","","","","","","","","","","","","","","","","CVCL_7934","21PT_11_2019","","breast","Breast carcinoma","Cancer cell line",NA,"",""
"22Rv1","Prostate","22RV1","22Rv1","22RV1","","","","22RV1","22Rv1","22Rv1","22Rv1","22RV1","","22RV1","22Rv1","22RV1","","22RV1_PROSTATE","","prostate","prostate","prostate","","","","prostate","prostate","urogenital_system","","","prostate","prostate","","prostate","22RV1","prostate","","","","prostate","","CVCL_1045","22RV1_12_2019","22RV1","prostate","Prostate carcinoma","Cancer cell line",NA,"ACH-000956",""
"23132/87","Esophagus/Stomach","23132-87","23132/87","","","23132/87","","23132-87","","23132_87","23132_87","23132-87","","2313287","23132-87///23132/87","23132-87","","2313287_STOMACH","","stomach","stomach","","","","","Stomach","stomach","digestive_system","","","stomach","stomach","Stomach","stomach","","","","","","gastric","","CVCL_1046","2313287_13_2019","23132-87","stomach","Gastric adenocarcinoma","Cancer cell line",NA,"ACH-000948",""
"253J","Bladder/Urinary Tract","","253J","","","","","","","253J","253J","","","253J","","","","253J_URINARY_TRACT","","","urinary_tract","","","","","","urinary_tract","","","","urinary_tract","urinary_tract","","","","","","","","urinary_tract","","CVCL_7935","253J_14_2019","","urinary_tract","Bladder carcinoma","Cancer cell line","TRUE","ACH-000011",""
