GDSC.sampleid	GDSC.Sample_Name	CCLE.sampleid	GDSC.BROAD_ID	GDSC.RRID	CMP.model_id	CMP.sampleid	GDSC.COSMIC_ID	GDSC.Whole_Exome_Sequencing_(WES)	GDSC.Copy_Number_Alterations_(CNA)	GDSC.Gene_Expression	GDSC.Methylation	GDSC.DrugResponse	GDSC.Tissue_descriptor_1	GDSC.Tissuedescriptor_2	GDSC.Cancer_Type(matching_TCGA_label)	GDSC.Microsatellite_instability_Status_(MSI)	GDSC.Screen_Medium	GDSC.Growth_Properties	GDSC.tissue	GDSC.cancer_type	GDSC.cancer_type_ncit_id	GDSC.sample_site	GDSC.gender	GDSC.ethnicity	GDSC.age_at_sampling
MC-CAR	MC-CAR	MCCAR_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002270	CVCL_1397	SIDM00636	SIDS00191	683665	Y	Y	Y	Y	Y	myeloma	haematopoietic_neoplasm other	MM	MSS/MSI-L	D/F12	Suspension	Haematopoietic and Lymphoid	Non-Cancerous	C41168	Peripheral Blood	Male	White	81
PFSK-1	PFSK-1	PFSK1_CENTRAL_NERVOUS_SYSTEM	ACH-001711	CVCL_1642	SIDM01132	SIDS00339	683667	Y	Y	Y	Y	Y	nervous_system	medulloblastoma	MB	MSS/MSI-L	R	Adherent	Central Nervous System	Other Solid Cancers	C3716	Cerebral hemisphere	Male	White	0.92
A673	A673	A673_BONE	ACH-000052	CVCL_0080	SIDM00848	SIDS00072	684052	Y	Y	Y	Y	Y	soft_tissue	rhabdomyosarcoma	NA	MSS/MSI-L	D/F12	Adherent	Bone	Ewing's Sarcoma	C4817	Muscle	Female	Unknown	15
ES3	ES3	ES3_BONE	ACH-002104	CVCL_1199	SIDM00265	SIDS00712	684055	Y	Y	Y	Y	Y	bone	ewings_sarcoma	NA	MSS/MSI-L	R	Adherent	Bone	Ewing's Sarcoma	C4817	Unknown	Male	Unknown	12
ES5	ES5	ES5_BONE	ACH-002106	CVCL_1201	SIDM00263	SIDS00714	684057	Y	Y	Y	Y	Y	bone	ewings_sarcoma	NA	MSS/MSI-L	R	Adherent	Bone	Ewing's Sarcoma	C4817	Unknown	Male	Unknown	16
ES7	ES7	ES7_BONE	ACH-002108	CVCL_1203	SIDM00269	SIDS00716	684059	Y	Y	Y	Y	Y	bone	ewings_sarcoma	NA	MSS/MSI-L	R	Adherent	Bone	Ewing's Sarcoma	C4817	Unknown	Male	Unknown	15
EW-11	EW-11	EW11_BONE	ACH-002111	CVCL_1209	SIDM00203	SIDS00581	684062	Y	Y	Y	Y	Y	bone	ewings_sarcoma	NA	MSS/MSI-L	R	Adherent	Bone	Ewing's Sarcoma	C4817	Unknown	Female	Unknown	11
SK-ES-1	SK-ES-1	SKES1_BONE	ACH-000087	CVCL_0627	SIDM01111	SIDS00361	684072	Y	Y	Y	Y	Y	bone	ewings_sarcoma	NA	MSS/MSI-L	R	Semi-Adherent	Bone	Ewing's Sarcoma	C4817	Bone	Male	White	18
NCI-H1395	NCI-H1395	NCIH1395_LUNG	ACH-000327	CVCL_1467	SIDM00644	SIDS00221	684681	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	R	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Unknown	Female	White	55
COLO-829	COLO-829	COLO829_SKIN	ACH-000644	CVCL_1137	SIDM00909	SIDS00108	687448	Y	Y	Y	Y	Y	skin	melanoma	SKCM	MSS/MSI-L	R	Adherent	Skin	Melanoma	C3224	Unknown	Male	White	45
5637	5637	5637_URINARY_TRACT	ACH-000905	CVCL_0126	SIDM00807	SIDS00057	687452	Y	Y	Y	Y	Y	urogenital_system	Bladder	BLCA	MSS/MSI-L	R	Adherent	Bladder	Bladder Carcinoma	C4912	Urinary Bladder	Male	White	68
RT4	RT4	RT4_URINARY_TRACT	ACH-000242	CVCL_0036	SIDM01085	SIDS00349	687455	Y	Y	Y	Y	Y	urogenital_system	Bladder	BLCA	MSS/MSI-L	D/F12	Adherent	Bladder	Bladder Carcinoma	C4912	Urinary Bladder	Male	White	63
SW780	SW780	SW780_URINARY_TRACT	ACH-000384	CVCL_1728	SIDM01160	SIDS00399	687457	Y	Y	Y	Y	Y	urogenital_system	Bladder	BLCA	MSS/MSI-L	D/F12	Adherent	Bladder	Bladder Carcinoma	C4912	Urinary Bladder	Female	White	80
TCCSUP	TCCSUP	TCCSUP_URINARY_TRACT	ACH-000720	CVCL_1738	SIDM01190	SIDS00408	687459	Y	Y	Y	Y	Y	urogenital_system	Bladder	BLCA	MSS/MSI-L	D/F12	Adherent	Bladder	Bladder Carcinoma	C4912	Neck of the urinary bladder	Female	Unknown	67
C-33-A	C-33-A	C33A_CERVIX	ACH-001333	CVCL_1094	SIDM00889	SIDS00089	687505	Y	Y	Y	Y	Y	urogenital_system	cervix	CESC	MSI-H	D/F12	Adherent	Cervix	Cervical Carcinoma	C4028	Cervix	Female	White	66
C-4-I	C-4-I	C4I_CERVIX	ACH-001334	CVCL_2253	SIDM00905	SIDS00091	687506	Y	Y	Y	Y	Y	urogenital_system	cervix	CESC	MSS/MSI-L	D/F12	Adherent	Cervix	Cervical Carcinoma	C27676	Cervix	Female	White	41
ME-180	ME-180	ME180_CERVIX	ACH-001359	CVCL_1401	SIDM00627	SIDS00200	687514	Y	Y	Y	Y	Y	urogenital_system	cervix	CESC	MSS/MSI-L	D/F12	Adherent	Cervix	Cervical Carcinoma	C27676	Omentum	Female	White	66
42-MG-BA	42-MG-BA	42MGBA_CENTRAL_NERVOUS_SYSTEM	ACH-000323	CVCL_1798	SIDM00982	SIDS00444	687561	Y	Y	Y	Y	Y	nervous_system	glioma	GBM	MSS/MSI-L	R	Adherent	Central Nervous System	Glioblastoma	C3058	Temporal Lobe	Male	Unknown	63
8-MG-BA	8-MG-BA	8MGBA_CENTRAL_NERVOUS_SYSTEM	ACH-000137	CVCL_1052	SIDM00998	SIDS00447	687562	Y	Y	Y	Y	Y	nervous_system	glioma	GBM	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Glioblastoma	C3058	Frontal Brain lobe	Female	Unknown	54
A172	A172	A172_CENTRAL_NERVOUS_SYSTEM	ACH-000558	CVCL_0131	SIDM00799	SIDS00065	687563	Y	Y	Y	Y	Y	nervous_system	glioma	GBM	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Glioblastoma	C3058	Brain	Male	Unknown	53
GB-1	GB-1	GB1_CENTRAL_NERVOUS_SYSTEM	ACH-000738	CVCL_1227	SIDM00581	SIDS00958	687568	Y	Y	Y	Y	Y	nervous_system	glioma	GBM	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Glioblastoma	C3058	Unknown	Male	Unknown	35
T98G	T98G	T98G_CENTRAL_NERVOUS_SYSTEM	ACH-000571	CVCL_0556	SIDM01171	SIDS00407	687586	Y	Y	Y	Y	Y	nervous_system	glioma	GBM	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Glioblastoma	C3058	Brain	Male	White	61
U-118-MG	U-118-MG	U118MG_CENTRAL_NERVOUS_SYSTEM	ACH-000040	CVCL_0633	SIDM01193	SIDS00414	687588	Y	Y	Y	Y	Y	nervous_system	glioma	GBM	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Glioma	C60781	Brain	Male	White	50
U-87-MG	U-87-MG	U87MG_CENTRAL_NERVOUS_SYSTEM	ACH-000075	CVCL_0022	SIDM01189	SIDS00417	687590	Y	Y	Y	Y	Y	nervous_system	glioma	GBM	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Glioblastoma	C3058	Brain	Male	Unknown	NA
YKG-1	YKG-1	YKG1_CENTRAL_NERVOUS_SYSTEM	ACH-000570	CVCL_1796	SIDM00315	SIDS01088	687592	Y	Y	Y	Y	Y	nervous_system	glioma	GBM	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Glioblastoma	C3058	Unknown	Female	Unknown	53
CHAGO-K-1	ChaGo-K-1	CHAGOK1_LUNG	ACH-000867	CVCL_1121	SIDM00924	SIDS00101	687596	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_not specified	UNABLE TO CLASSIFY	MSS/MSI-L	R	Adherent	Lung	Other Solid Cancers	C35875	Bronchus	Male	Unknown	45
NCI-H720	NCI-H720	NCIH720_LUNG	ACH-002174	CVCL_1583	SIDM01120	SIDS00314	687600	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_carcinoid	NA	MSS/MSI-L	D/F12	Suspension	Lung	Other Solid Cancers	C4038	Unknown	Male	Unknown	0
CALU-3	Calu-3	CALU3_LUNG	ACH-000392	CVCL_0609	SIDM00922	SIDS00095	687777	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	D/F12	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Pleural effusion	Male	White	25
COR-L23	COR-L23	CORL23_LUNG	ACH-000662	CVCL_1139	SIDM00512	SIDS00891	687780	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_large cell	NA	MSS/MSI-L	R	Adherent	Lung	Non-Small Cell Lung Carcinoma	C4450	Pleural effusion	Male	White	62
LK-2	LK-2	LK2_LUNG	ACH-000769	CVCL_1377	SIDM00548	SIDS01010	687787	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_squamous_cell_carcinoma	LUSC	MSS/MSI-L	R	Adherent	Lung	Squamous Cell Lung Carcinoma	C3493	Unknown	Male	Unknown	74
NCI-H1437	NCI-H1437	NCIH1437_LUNG	ACH-000589	CVCL_1472	SIDM00734	SIDS00226	687794	Y	Y	N	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	R	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Pleural effusion	Male	White	60
NCI-H1623	NCI-H1623	NCIH1623_LUNG	ACH-000744	CVCL_1481	SIDM00747	SIDS00232	687798	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	D/F12	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Lymph node	Male	White	58
NCI-H1648	NCI-H1648	NCIH1648_LUNG	ACH-000766	CVCL_1482	SIDM00746	SIDS00233	687799	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	D/F12	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Lymph node	Male	Black	39
NCI-H1650	NCI-H1650	NCIH1650_LUNG	ACH-000035	CVCL_1483	SIDM00745	SIDS00234	687800	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	R	Adherent	Lung	Non-Small Cell Lung Carcinoma	C2923	Pleural effusion	Male	White	27
NCI-H1693	NCI-H1693	NCIH1693_LUNG	ACH-000021	CVCL_1488	SIDM00742	SIDS00237	687802	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	R	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Lymph node	Female	White	55
NCI-H1770	NCI-H1770	NCIH1770_LUNG	ACH-001362	CVCL_1493	SIDM00737	SIDS00242	687804	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_not specified	UNABLE TO CLASSIFY	MSS/MSI-L	D/F12	Suspension	Lung	Non-Small Cell Lung Carcinoma	C2926	Lymph node	Male	White	57
NCI-H1838	NCI-H1838	NCIH1838_LUNG	ACH-000733	CVCL_1499	SIDM00769	SIDS00248	687807	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	R	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Unknown	Female	Unknown	0
NCI-H2085	NCI-H2085	NCIH2085_LUNG	ACH-000451	CVCL_1523	SIDM00709	SIDS00270	687812	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	D/F12	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Unknown	Male	Unknown	45
NCI-H2170	NCI-H2170	NCIH2170_LUNG	ACH-000481	CVCL_1535	SIDM00716	SIDS00282	687815	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_squamous_cell_carcinoma	LUSC	MSS/MSI-L	R	Adherent	Lung	Squamous Cell Lung Carcinoma	C3493	Unknown	Male	Unknown	NA
NCI-H2228	NCI-H2228	NCIH2228_LUNG	ACH-000447	CVCL_1543	SIDM00729	SIDS00288	687816	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	R	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Lung	Female	Unknown	NA
NCI-H2342	NCI-H2342	NCIH2342_LUNG	ACH-000951	CVCL_1549	SIDM00727	SIDS00290	687819	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	D/F12	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Unknown	Male	White	55
NCI-H2347	NCI-H2347	NCIH2347_LUNG	ACH-000875	CVCL_1550	SIDM00726	SIDS00291	687820	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	R	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Unknown	Female	White	54
NCI-H2405	NCI-H2405	NCIH2405_LUNG	ACH-000121	CVCL_1551	SIDM00724	SIDS00293	687821	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	D/F12	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Ascites	Male	White	47
NCI-H661	NCI-H661	NCIH661_LUNG	ACH-000853	CVCL_1577	SIDM01122	SIDS00312	687829	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_large cell	NA	MSS/MSI-L	R	Adherent	Lung	Non-Small Cell Lung Carcinoma	C4450	Lymph node	Male	White	43
COR-L311	COR-L311	CORL311_LUNG	ACH-000187	CVCL_2412	SIDM00509	SIDS00894	687980	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	R	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Unknown	Male	Unknown	63
DMS-114	DMS-114	DMS114_LUNG	ACH-000530	CVCL_1174	SIDM00865	SIDS00114	687983	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	D/F12	Adherent	Lung	Small Cell Lung Carcinoma	C4917	Unknown	Male	White	68
DMS-273	DMS-273	DMS273_LUNG	ACH-000749	CVCL_1176	SIDM00522	SIDS00899	687985	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	D/F12	Adherent	Lung	Small Cell Lung Carcinoma	C4917	Pleural effusion	Female	Unknown	50
NCI-H1048	NCI-H1048	NCIH1048_LUNG	ACH-000866	CVCL_1453	SIDM00654	SIDS00211	687995	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSI-H	D/F12	Adherent	Lung	Small Cell Lung Carcinoma	C4917	Pleural effusion	Female	Unknown	0
NCI-H1092	NCI-H1092	NCIH1092_LUNG	ACH-000514	CVCL_1454	SIDM00653	SIDS00212	687997	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	D/F12	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Bone marrow	Male	White	67
NCI-H1417	NCI-H1417	NCIH1417_LUNG	ACH-001591	CVCL_1469	SIDM00642	SIDS00223	688001	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	R	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Lung	Female	White	61
NCI-H1694	NCI-H1694	NCIH1694_LUNG	ACH-000431	CVCL_1489	SIDM00741	SIDS00238	688006	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	D/F12	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Ascites	Male	White	61
NCI-H187	NCI-H187	NCIH187_LUNG	ACH-001136	CVCL_1501	SIDM00767	SIDS00250	688007	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	R	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Pleural effusion	Male	White	47
