unichem.ChEMBL	pubchem.CID	CCLE.treatmentid	CTRP.treatmentid	GDSC.treatmentid	gCSI.treatmentid	pubchem.MolecularFormula	pubchem.MolecularWeight	pubchem.InChIKey	pubchem.Title	unichem.ChEBI	unichem.FDA_SRS	unichem.LINCS	unichem.rxnorm	unichem.clinicaltrials	unichem.DrugBank	unichem.NIH_Clinical_Collection	unichem.PharmGKB	chembl.action_type	chembl.disease_efficacy	chembl.max_phase	chembl.mec_id	chembl.mechanism_of_action	chembl.target_chembl_id	chembl.site_id	chembl.parent_molecule_chembl_id
""	54649500		BRD-K86535717			C25H35N3O6	473.6	XYLRKRISJMFHFX-OAVQTBGQSA-N	(1R,13R,14S,19S,22R)-13,22-dimethoxy-11,14,16-trimethyl-10,15-dioxo-3,23-dioxa-11,16-diazatricyclo[17.3.1.04,9]tricosa-4,6,8-triene-5-carbonitrile	102378	""	LSM-13729	""	""	""	""	""								
CHEMBL2058177	56946209		CR-1-31B			C28H29NO8	507.5	KLSIFOJPWJBRFH-GWNOIRNCSA-N	(1R,2R,3S,3aR,8bS)-1,8b-dihydroxy-N,6,8-trimethoxy-3a-(4-methoxyphenyl)-3-phenyl-2,3-dihydro-1H-cyclopenta[b][1]benzofuran-2-carboxamide	""	""	""	""	""	""	""	""								
CHEMBL73711	9911463		GW-405833			C23H24Cl2N2O3	447.4	FSFZRNZSZYDVLI-UHFFFAOYSA-N	(2,3-dichlorophenyl)(5-methoxy-2-methyl-3-(2-morpholinoethyl)-1H-indol-1-yl)methanone	92184	85K154W99L	LSM-2217	""	""	""	""	""								
CHEMBL1374426	227681		NSC19630	MIRA-1		C8H9NO4	183.16	YXEWPGYLMHXLPS-UHFFFAOYSA-N	(2,5-dioxo-2,5-dihydro-1H-pyrrol-1-yl)methyl propionate	""	""	""	""	""	""	""	""								
CHEMBL2426364	57339144			UNC1215		C32H43N5O2	529.7	PQOOIERVZAXHBP-UHFFFAOYSA-N	(2-(Phenylamino)-1,4-phenylene)bis((4-(pyrrolidin-1-yl)piperidin-1-yl)methanone)	95086	""	LSM-6338	""	""	""	""	""								
CHEMBL255342	2314623			CCT007093		C15H12OS2	272.4	KPFZCKDPBMGECB-WGDLNXRISA-N	(2E,5E)-2,5-Bis(2-thienylmethylene)-cyclopentanone	""	""	""	""	""	""	""	""								
CHEMBL3182046	44491742		BRD-K19103580			C25H33Cl2N3O3	494.4	QSGCCBXTIZPHMD-SRGWNRLKSA-N	(2R,3S)-2-[[(3,4-dichlorophenyl)methyl-methylamino]methyl]-8-(dimethylamino)-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-3,4-dihydro-2H-1,5-benzoxazocin-6-one	124064	""	LSM-35506	""	""	""	""	""								
""	44495899		BRD-K33199242			C19H31N3O3	349.5	WYKJOBISBUCKND-DEYYWGMASA-N	(2R,3S)-9-(dimethylamino)-5-[(2S)-1-hydroxypropan-2-yl]-3-methyl-2-(methylaminomethyl)-2,3,4,7-tetrahydro-1,5-benzoxazonin-6-one	113699	""	LSM-25131	""	""	""	""	""								
CHEMBL3108827	49847690			AZD5582		C58H78N8O8	1015.3	WLMCRYCCYXHPQF-ZVMUOSSASA-N	(2S)-1-[(2S)-2-cyclohexyl-2-[[(2S)-2-(methylamino)propanoyl]amino]acetyl]-N-[(1S,2R)-2-[6-[[(1S,2R)-1-[[(2S)-1-[(2S)-2-cyclohexyl-2-[[(2S)-2-(methylamino)propanoyl]amino]acetyl]pyrrolidine-2-carbonyl]amino]-2,3-dihydro-1H-inden-2-yl]oxy]hexa-2,4-diynoxy]-2,3-dihydro-1H-inden-1-yl]pyrrolidine-2-carboxamide	""	""	""	""	""	""	""	""								
""	73707386		PRIMA-1-Met			C10H17NO3	199.25	BGBNULCRKBVAKL-JTQLQIEISA-N	(2S)-2-(Hydroxymethyl)-2-(methoxymethyl)-1-azabicyclo(2.2.2)octan-3-one	95018	8A7Y6RUE2U	LSM-6249	""	""	""	""	""								
