DrugName	CellLineName	PrimaryTissue	ExperimentNumber	TrtDuration	doublingtime	maxlog10Concentration	GR_AOC	meanviability	GRmax	Emax	GRinf	GEC50	GR50	R_square_GR	pval_GR	flat_fit_GR	h_GR	N_conc	log10_conc_step	Norm_CellLineName	Norm_DrugName	GR_05uM_fit
Vinblastine	MC116	Lymph Node	2c	72	39	-7	0.463444444444444	0.730877828314815	-0.799	0.0143925	-0.7944058071675	1.22564396857184e-08	1.01285537751889e-08	0.997293518211222	1.03137804455715e-09	0	4.98811809501774	9	0.47712125	MC116	VINBLASTINE	-0.794405783403007
Vinblastine	SK-BR-3	Breast	2c	72	73	-7	0.451111111111111	0.776111816966667	-0.544	0.2328637225	-0.47530626074189	8.62208316707643e-09	7.32895799354673e-09	0.994799543526097	1.01425026627291e-08	0	4.11181961023156	9	0.47712125	SKBR3	VINBLASTINE	-0.475306217153725
Vinblastine	SU-DHL-1	Lymph Node	2c	72	50	-7	0.466333333333333	0.723957926833333	-0.603	0.097451065	-0.580718655021452	8.79802010473769e-09	5.97674044064065e-09	0.997718291196175	5.67428001175765e-10	0	1.99345842385031	9	0.47712125	SUDHL1	VINBLASTINE	-0.580216329394661
Vinblastine	HT	Lymph Node	2c	72	35	-7	0.378	0.725868201714815	-0.348	0.0997353466666666	-0.260874202810783	8.97370966877085e-09	7.84748490256245e-09	0.992673862730584	3.36560141147771e-08	0	3.13080492814018	9	0.47712125	HT	VINBLASTINE	-0.260869891845571
Vinblastine	SU-DHL-6	Lymph Node	2c	72	NA	NA	NA	0.593868748111111	NA	0.0145141	NA	NA	NA	NA	NA	NA	NA	NA	NA	SUDHL6	VINBLASTINE	NA
Vinblastine	SCC-3	Blood	2c	72	NA	NA	NA	0.82528404722963	NA	0.02628735	NA	NA	NA	NA	NA	NA	NA	NA	NA	SCC3	VINBLASTINE	NA
Vinblastine	SU-DHL-16	Lymph Node	2c	72	29	-7	0.438111111111111	0.718718397638889	-0.77	0.0046302250000001	-0.77451778187151	1.54773150663225e-08	1.19043338240264e-08	0.999428885179843	4.45176268799916e-12	0	3.56499708501258	9	0.47712125	SUDHL16	VINBLASTINE	-0.774510412112823
Vinblastine	SU-DHL-5	Lymph Node	2c	72	40	-7	0.524222222222222	0.686319686771389	-0.832	0.01161243	-0.83023988766369	1.19040516577365e-08	9.78819945592264e-09	0.992349553830965	3.91654997797514e-08	0	5	9	0.47712125	SUDHL5	VINBLASTINE	-0.830239885999882
Vinblastine	SU-DHL-8	Lymph Node	2c	72	23	-7	0.201888888888889	0.806137496833333	-0.179	0.0614910000000001	-1	7.81574109201789e-08	3.39083444519992e-08	0.98816587290464	1.80292143500612e-07	0	1.315602899064	9	0.47712125	SUDHL8	VINBLASTINE	-0.839890790978933
Vinblastine	U-698-M	Lymph Node	2c	72	30	-7	0.353444444444444	0.750379557202778	-0.662	0.01400541	-0.797692931021623	2.4046142017662e-08	1.38383187591466e-08	0.996401996597871	2.79392982534187e-09	0	1.72611413732563	9	0.47712125	U698M	VINBLASTINE	-0.788197197100615
Vinblastine	MHH-PREB-1	Lymph Node	2c	72	26	-7	0.254111111111111	0.770608345925	-0.268	0.0618163850000001	-1	6.24120949385277e-08	2.29626810790195e-08	0.995512247178587	6.05482018683426e-09	0	1.09873452357866	9	0.47712125	MHHPREB1	VINBLASTINE	-0.815472189607333
Vinblastine	OCI-LY-19	Lymph Node	2c	72	29	-7	0.517	0.658090920811111	-0.59	0.0196108625	-0.595021602460422	6.94469595940014e-09	5.44803376223657e-09	0.999906787830135	7.81905310543551e-15	0	3.22968931765135	9	0.47712125	OCILY19	VINBLASTINE	-0.595019999668142
Vinblastine	REC-1	Lymph Node	2c	72	32	-7	0.0762222222222222	0.934523613703704	0.269	0.359121196666667	-1	1.11670548703664e-07	8.96425906690014e-08	0.994538458265778	1.20393599277525e-08	0	5	9	0.47712125	REC1	VINBLASTINE	-0.998889212443619
Vinblastine	SR	Lymph Node	2c	72	26	-7	0.467222222222222	0.667311785922222	-0.453	0.027538885	-0.444289147035522	7.7713760162134e-09	6.80041502791793e-09	0.996489369458644	2.56358630915077e-09	0	4.76402800927143	9	0.47712125	SR	VINBLASTINE	-0.444289096500206
